[ 1470ns | cycle   72] PC=0x00000068 | PC_next=0x00000068 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1490ns | cycle   73] PC=0x00000068 | PC_next=0x0000006c | instr=0x00229c13 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1510ns | cycle   74] PC=0x0000006c | PC_next=0x0000006c | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1530ns | cycle   75] PC=0x0000006c | PC_next=0x00000070 | instr=0x002a9c93 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1550ns | cycle   76] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1570ns | cycle   77] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1590ns | cycle   78] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1610ns | cycle   79] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1630ns | cycle   80] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1650ns | cycle   81] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1670ns | cycle   82] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1690ns | cycle   83] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1710ns | cycle   84] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1730ns | cycle   85] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1750ns | cycle   86] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1770ns | cycle   87] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1790ns | cycle   88] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1810ns | cycle   89] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1830ns | cycle   90] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1850ns | cycle   91] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1870ns | cycle   92] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1890ns | cycle   93] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1910ns | cycle   94] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1930ns | cycle   95] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1950ns | cycle   96] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1970ns | cycle   97] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1990ns | cycle   98] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2010ns | cycle   99] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2030ns | cycle  100] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2050ns | cycle  101] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2070ns | cycle  102] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2090ns | cycle  103] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2110ns | cycle  104] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2130ns | cycle  105] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2150ns | cycle  106] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2170ns | cycle  107] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2190ns | cycle  108] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2210ns | cycle  109] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2230ns | cycle  110] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2250ns | cycle  111] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2270ns | cycle  112] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2290ns | cycle  113] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2310ns | cycle  114] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2330ns | cycle  115] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2350ns | cycle  116] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2370ns | cycle  117] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2390ns | cycle  118] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2410ns | cycle  119] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2430ns | cycle  120] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2450ns | cycle  121] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2470ns | cycle  122] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2490ns | cycle  123] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2510ns | cycle  124] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2530ns | cycle  125] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2550ns | cycle  126] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2570ns | cycle  127] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2590ns | cycle  128] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2610ns | cycle  129] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2630ns | cycle  130] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2650ns | cycle  131] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2670ns | cycle  132] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2690ns | cycle  133] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2710ns | cycle  134] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2730ns | cycle  135] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2750ns | cycle  136] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 2770ns | cycle  137] PC=0x00000070 | PC_next=0x00000070 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
